Turma;Ano de Ingresso;Ano Egresso;Você está empregado no Einstein?;Você está empregado na área em que se formou?;Se sim, em qual instituição?;Em qual cargo?;Progressão de carreira;Caso esteja empregado, em qual unidade/setor está trabalhando?;Curso;Formação;Lyceum (Sit Aluno);Situação do aluno;Pendência;Motivo do cancelamento;Data do cancelamento;Mês do cancelamento;Data de reabertura;Observação;Respondeu a pesquisa?;O docente indica?;Pretende iniciar alguma graduação?;Local de trabalho;tratativa de repetido
RAD22N1S;fev/22;dez/23;;Não;Hospital Israelita Albert Einstein;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Reprovado;Nota em Técnicas Radiológicas I;;;;;;;;;;
ENF21M1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar Enfermagem;;Transporte;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
ENF20M2S;ago/20;jun/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;Não;;;;sim
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;Saúde;03/11/2022;;;;;;;;
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;Nota em Técnicas Radiológicas I;Saúde;07/11/2022;;;;;;;;
ENF21N2S;ago/22;jun/23;;Sim;Prevent Sênior;Auxiliar de Enfermagem;;Programa Saúde Família Vila Prel - Programas Governamentais (AEPG);Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;Reprovado no estágio de PG;;;;Einstein;sim
ENF21N2S;ago/21;jun/23;;Sim;HMVSC;Auxiliar de Enfermagem;;UPA;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;Não;;;Einstein;sim
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;;;;;;;;;;
ENF EURO 4T;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Técnico de Enfermagem;Sim, de auxiliar para técnico;Terapia Semi Intensiva - 7º andar;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;Einstein;sim
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;;;;;;;;;;
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;Saúde;09/03/2022;;;;;;;;
ENF21T1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;sim
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Reprovado;Reprovado em Física Radiológica;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
ENF EURO 5T;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;Sim - estagio extra para tecnico;Morumbi;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Reprovado;Reprovada em Exames Constrastados;;;;;;;;;;
ENF20N2S;ago/20;jun/22;;Sim;Hospital Santa Paula ;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;sim
RAD23N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;;;;;;;;;;
ENF20N2S;ago/20;jun/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;;Sim;;sim
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;Saúde;10/10/2022;;;;;;;;
ENF22M1S;fev/22;dez/23;Sim;Sim;Hospital Vila Nova Star- Rede D’Or São Luiz;Técnica de enfermagem;;Internação;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
ENF21N2S;ago/21;jun/23;Não;Não;;;;Unidade de gastro 10º A ;Curso Técnico de Enfermagem;Técnico de Enfermagem;Concluido;Aprovado;;;;;;;;;;;
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Reprovado;Reprovada em Exames Constrastados e Física Radiológica;;;;;;;;;;
RAD22N1S;fev/22;dez/23;;;Hospital Israelita Albert Einstein;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;;;;;;;;;;
ENF20M2S;ago/20;jun/22;Não;Sim;Prefeitura Municipal de Campinas;Técnico de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;;sim
RAD22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Reprovadp;Reprovado em Proteção Radiológica;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;
RD20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico em Raio X;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado/Reserva de vaga;Era da RD12N - reprovou em Proteção Radiológica e Téc. Radiológicas I;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Sim; Clínica Ortocity;Técnico em Raio X;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Celular desligado;;;;;
RD20N1S;fev/20;dez/21;;Não;;;Desligado;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Celular desligado;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Celular desligado;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;"Deseja trabalhar no einstein; Fez estágio";;;;;
RD20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico em Raio X;UPA Campo Limpo;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Deseja trabalhar no einstein;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Não atendeu o celular ;;;;;
RD20N1S;fev/20;dez/21;;Não;Hospital Israelita Albert Einstein;Assistente de Atendimento II  - MDA Unidade Perdizes;Atendimento II;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Deseja trabalhar no einstein;;;;;
RD20N1S;fev/20;dez/21;;Sim;Fleury e prefeitura de barueri;Técnico em Radiologia;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;"Fez entrevista recentemente; deseja trabalhar no einstein";;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Deseja trabalhar no einstein;;;;;
RD20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico em Raio X;Parque da Cidade;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;Reprovado por nota em Visão Sistêmica da Saúde;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Reprovado;Reprovado por nota em Visão Sistêmica da Saúde;;;;;Não atendeu o celular ;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;"Fez entrevista recentemente; deseja trabalhar no einstein";;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Sim;;;;
RD20N1S;fev/20;dez/21;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Raio X;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;"Fez entrevista recentemente; deseja trabalhar no einstein";;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;Deseja trabalhar no einstein;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado/Reserva de vaga;Era da RD11N - Reprovou em Proteção Radiológica;;;;;;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado/Reserva de vaga;Era da RD11N - Reprovou em Proteção Radiológica e Proteção Radiológica;;;;;;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado/Reserva de vaga;Era da RD11N - Reprovou em Anatomia Humana e Proteção Radiológica;;;;;;;;;;
RD20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado/Reserva de vaga;Era da RD11N - Reprovou por frequência em Introdução a Mamografia;;;;;;;;;;
RD20N1S;fev/20;dez/21;Sim;Sim;FIDI;Tecnico Raio X;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;Era da RD11N - Reprovou em Física Radiológica;;;;;;;;;;
RD20N1S;fev/21;dez/21;;Sim;Hospital Israelita Albert Einstein;Técnico em Raio X;;;Curso Técnico em Radiologia;Técnico em Radiologia;Concluido;Aprovado;;;;;;;Não;;;;
ENF21M1S;fev/21;dez/22;Sim;Sim;HMVSC;Tecnico Enfermagem;;HVSC- Oncologia/Internação;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;Einstein;sim
AC22N1S;fev/22;dez/23;Não;Sim;São Camilo ;Auxiliar de laboratório;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Aprovado;Auxiliar de laboratório - São Camilo;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Cancelado;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;E - Abandono;05/04/2023;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Cancelado;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Cancelado;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Matriculado;Cancelado;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;Hospital Israelita Albert Einstein;Camareira;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;Cancelado;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Cancelado;Cancelado;;E - Saúde;24/04/2023;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Reprovado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Radiologia;Técnico em Radiologia;Ativo;Matriculado;;;;;;;;;;;
RAD22N1S;ago/22;dez/24;;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Cancelado;Cancelado;;;;;;Era da 21n1s, voltou na 22n2s;;;;;
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Matriculado ;;;;;;;;;;;
AC10N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Farmacia;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Concluido;Aprovado;;;;;;;;;;;
AC3T;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;E - Falta de tempo;20/03/2023;;;;;;;;
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;Tem muito interesse em ingressar na área, disse morar próximo ao einstein e que tem disponibilidade total;;;;;sim
AC21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;CT_Financeiro;04/03/2021;;;;;;;;sim
AC23N1S;fev/23;dez/24;;;Hospital Israelita Albert Einstein;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Matriculado ;;;;;;;;;;;
AC3T;fev/18;dez/19;;;Hospital Israelita Albert Einstein;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC3T;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Evasão;05/04/2018;;;;;;;;
AC21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro ;CT_Financeiro;;;;;;;;sim
AC21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Motivos Pessoais;02/08/2022;;;;;;;;sim
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Conciliação;16/04/2018;;;;;;;;
AC10N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Laboratorista/ Laboratório Suporte Operacional;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Concluido;Aprovado;;;;;;;;;;;
AC22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Reprovado;;E - Reprovação;05/01/2023;;;;;;;;
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Não pagou matrícula;05/01/2022;;;;;;;;
RAD22N1S;fev/22;dez/23;Não;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Ativo;Aprovado;;;;;;;;;;;
ENF EURO 4T;ago/20;jun/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;UPA - Campo Limpo;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;Sim;Sim;Sim;Einstein;sim
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Conciliação;16/04/2018;;;;;;;;
AC20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;Procura emprego na área;;;;;
AC10N;fev/19;dez/20;;Não;;;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Cancelado;Reprovado;Por frequencia em biossegurança, por nota no estagio supervisionado II;;;;;;;;;;
ENF22N1S;fev/22;dez/23;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Enfermagem;;Semi intensiva 8º andar no Morumbi;Curso Técnico de Enfermagem;Técnico de Enfermagem;Ativo;Aprovado;;;;;;;;;;;
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC3T;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Reprovação;27/06/2019;;;;;;;;
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Conciliação;30/06/2018;;;;;;;;
AC21N1S;fev/21;dez/22;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro ;05/01/2022;;;;;;;;sim
AC20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;;;Laboratorista/Banco de Sangue;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC20N1S;fev/20;dez/21;;Sim;Laboratório Fleury;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Reprovado ;Não fez o Estágio Supervisionado II por conta da gravidez;;;;;;;;;;
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Reprovado;;;;;;;;;;;sim
AC22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Reprovado;;;;;;Reprovada em Bioquimica;;;;;
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clinicas;Cancelado;Cancelado;;;;;;;;;;;
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Matriculado ;;;;;;;;;;;
AC3T;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Motivos pessoais;05/04/2019;;;;;;;;
AC20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Reprovado ;Por nota em Uroanálise e Líquidos Orgânicos Fundamentos e Técnicas em Biologia Molecular e Celular ,bioquímica I,por frequência em Bioquímica II.;;;;;;;;;;
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Matriculado ;;;;;;;;;;;
ENF21M1S;fev/21;dez/22;Não;Sim;Hospital São Luiz/Rede D'Or;Técnico de enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado;;;;;;;;;;;sim
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Insatisfação; 30/6/2021 ;;;Má formação da grade curricular e ensino ruim;;;;;sim
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro ; 15/2/2021;;;;;;;;sim
AC10N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Tecnico Administrativo III/Núcleo Integrado de BackOffice MDA;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Concluido;Aprovado;;;;;;;;;;;
ENF21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Auxiliar de Enfermagem;;Enfermagem Consultórios;Curso Técnico de Enfermagem;Técnico em Enfermagem;Concluido;Aprovado ;;;;;;;;;;Einstein;sim
AC21N1S;fev/21;dez/22;Não tem interesse no momento;Não tem interesse no momento;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;sim
AC9N;fev/18;dez/19;;;Hospital Israelita Albert Einstein;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC21N1S;fev/21;dez/22;;Sim;Hospital Israelita Albert Einstein;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Reprovação; 30/6/2021 ;;;;;;;Einstein;sim
AC10N;fev/19;dez/20;;Não;;;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Ativo;Aprovado;;;;;;Número  não existe;;;;;
AC22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro;30/06/2022;;;;;;;;
AC3T;fev/18;dez/19;;;Hospital Israelita Albert Einstein;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC20N1S;fev/20;dez/21;;Não;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;Procura emprego na área;;;;;
AC3T;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Motivos pessoais;29/03/2018;;;;;;;;
AC21N1S;fev/21;dez/22;Não tem interesse;Não tem interesse;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;sim
AC3T;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro;05/11/2018;;;;;;;;
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro ; 5/7/2021;;;;;;;;sim
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;CT_Financeiro; 5/7/2021;;;;;;;;sim
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Motivos pessoais ;01/12/2021;;;;;;;Einstein;sim
AC22N1S;fev/22;dez/23;;;Hospital Israelita Albert Einstein;;Desligado;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;;;;;;;;;;
RAD21N1S;fev/21;dez/22;Não;Não;;;;;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;;;;;;;;;;;sim
AC22N1S;fev/22;dez/23;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Não pagou matrícula;05/01/2022;;;;;;;;
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Matriculado ;;;;;;;;;;;
AC10N;fev/19;dez/20;;Sim;Hospital Israelita Albert Einstein;Laboratoristra - Unidade de Internação Morumbi;;;Curso Técnico em Análises Clínicas ;Técnico em Análises Clinicas;Ativo;Aprovado;;;;;;;;;;;
AC21N1S;fev/21;dez/22;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro ; 5/7/2021;;;;;;;;sim
AC23N1S;fev/23;dez/24;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Matriculado ;;;;;;;;;;;
AC20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;;;Assistente Atendimento II MDA;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;Está trabalhando no agendamento de exames no Einsten  ;;;;;
AC20N1S;fev/20;dez/21;;Sim;Hospital Israelita Albert Einstein;;;Assistente Atendimento II MDA;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;;;;;;
AC9N;fev/18;dez/19;;;;;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Cancelado;Cancelado;;Financeiro;20/12/2018;;;;;;;;
ENF20N2S;ago/20;jun/22;Não;Sim;Santa Marcelina;Auxiliar de Enfermagem;;;Curso Técnico de Enfermagem;Técnico em Enfermagem;Ativo;Aprovado ;;;;;;;Sim;Não;Sim;;sim
AC22N1S;fev/22;dez/23;Não;Sim;Laboratório Fleury;Técnico de laboratório I;;;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Ativo;Aprovado;;;;;;;;;;;
AC20N1S;fev/20;dez/21;;Não;;;;Laboratório de Imunologia;Curso Técnico em Análises Clínicas;Técnico em Análises Clínicas;Concluido;Aprovado;;;;;;Não atende;;;;;
RAD21N1S;fev/21;dez/22;Sim;Sim;Hospital Israelita Albert Einstein;Tecnico Raio X;;Radiologia IV Unidade Morumbi;Curso Técnico em Radiologia ;Técnico em Radiologia;Concluido;Aprovado;;;;;;;;;;Einstein;sim
